,Location,Date Scraped,Vistor Visa Times,Student & Vistor Exchange Visa Times,All Other Non-Immigrant Visa Times
0,Abidjan,2022-06-07,380,154,1
1,Abu Dhabi,2022-06-07,300,270,150
2,Accra,2022-06-07,983,73,60
3,Addis Ababa,2022-06-07,381,60,381
4,Algiers,2022-06-07,95,27,6
5,Almaty,2022-06-07,243,108,61
6,Amman,2022-06-07,721,85,721
7,Amsterdam,2022-06-07,240,73,134
8,Ankara,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9,Antananarivo,2022-06-07,21,21,21
10,Ashgabat,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
11,Asmara,2022-06-07,7,7,7
12,Asuncion,2022-06-07,390,10,10
13,Athens,2022-06-07,637,14,30
14,Auckland,2022-06-07,121,22,121
15,Baghdad,2022-06-07,Closed,Closed,Closed
16,Bangkok,2022-06-07,180,21,10
17,Banjul,2022-06-07,120,21,21
18,Beirut,2022-06-07,262,23,23
19,Belgrade,2022-06-07,180,8,12
20,Belmopan,2022-06-07,72,7,7
21,Bern,2022-06-07,129,48,48
22,Beirut,2022-06-07,262,23,23
23,Bishkek,2022-06-07,576,36,36
24,Bogota,2022-06-07,696,37,33
25,Bratislava,2022-06-07,56,17,17
26,Brazzaville,2022-06-07,14,14,14
27,Bridgetown,2022-06-07,615,22,250
28,Brussels,2022-06-07,90,40,60
29,Bucharest,2022-06-07,211,2,2
30,Budapest,2022-06-07,250,100,100
31,Buenos Aires,2022-06-07,504,10,10
32,Bujumbura,2022-06-07,10,7,7
33,Cairo,2022-06-07,404,5,5
34,Calgary,2022-06-07,307,14,120
35,Cape Town,2022-06-07,218,30,79
36,Caracas,2022-06-07,Temporarily Closed,Temporarily Closed,Temporarily Closed
37,Casablanca,2022-06-07,128,35,128
38,Chisinau,2022-06-07,149,7,7
39,Ciudad Juarez,2022-06-07,358,1,1
40,Colombo,2022-06-07,100,4,100
41,Cotonou,2022-06-07,146,146,146
42,Dakar,2022-06-07,235,25,235
43,Damascus,2022-06-07,Temporarily Closed,Temporarily Closed,Temporarily Closed
44,Dar es Salaam,2022-06-07,56,52,52
45,Dhaka,2022-06-07,572,572,43
46,Djibouti,2022-06-07,365,90,90
47,Doha,2022-06-07,155,21,6
48,Dubai,2022-06-07,313,137,137
49,Dublin,2022-06-07,28,23,16
50,Frankfurt,2022-06-07,51,51,51
51,Freetown,2022-06-07,108,66,66
52,Georgetown,2022-06-07,800,5,1
53,Guangzhou,2022-06-07,15,11,15
54,Guatemala City,2022-06-07,238,1,1
55,Guayaquil,2022-06-07,547,7,7
56,Hamilton,2022-06-07,120,30,90
57,Havana,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
58,Helsinki,2022-06-07,150,101,142
59,Ho Chi Minh City,2022-06-07,285,57,12
60,Hong Kong,2022-06-07,80,4,40
61,Harare,2022-06-07,107,107,107
62,Islamabad,2022-06-07,468,5,5
63,Jakarta,2022-06-07,50,11,14
64,Jerusalem,2022-06-07,318,20,1
65,Johannesburg,2022-06-07,240,60,210
66,Kabul,2022-06-07,Closed,Closed,Closed
67,Kampala,2022-06-07,210,30,180
68,Kathmandu,2022-06-07,274,80,17
69,Khartoum,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
70,Kigali,2022-06-07,95,20,15
71,Kingston,2022-06-07,760,15,24
72,Kinshasa,2022-06-07,755,8,755
73,Kuala Lumpur,2022-06-07,35,12,14
74,Kuwait City,2022-06-07,3,3,3
75,Kyiv,2022-06-07,Closed,Closed,Closed
76,Lagos,2022-06-07,760,30,30
77,La Paz,2022-06-07,90,25,1
78,Libreville,2022-06-07,188,30,188
79,Lilongwe,2022-06-07,52,52,52
80,Lima,2022-06-07,375,36,32
81,Ljubljana,2022-06-07,90,30,45
82,Lome,2022-06-07,90,90,90
83,London,2022-06-07,130,55,90
84,Luanda,2022-06-07,10,37,1
85,Lusaka,2022-06-07,16,16,16
86,Madrid,2022-06-07,363,90,124
87,Managua,2022-06-07,149,3,15
88,Manama,2022-06-07,75,3,11
89,Manila,2022-06-07,360,25,34
90,Monrovia,2022-06-07,365,30,30
91,Montevideo,2022-06-07,514,16,23
92,Montreal,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
93,Moscow,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
94,Mumbai,2022-06-07,292,39,93
95,Muscat,2022-06-07,7,7,7
96,Naha,2022-06-07,18,18,12
97,Nairobi,2022-06-07,667,414,44
98,Naples,2022-06-07,232,86,51
99,Nassau,2022-06-07,118,24,118
100,New Delhi,2022-06-07,316,39,226
101,Niamey,2022-06-07,90,90,90
102,Nicosia,2022-06-07,130,7,130
103,Oslo,2022-06-07,121,37,21
104,Ouagadougou,2022-06-07,236,236,7
105,Panama City,2022-06-07,700,20,3
106,Paramaribo,2022-06-07,45,1,1
107,Paris,2022-06-07,225,40,200
108,Phnom Penh,2022-06-07,62,35,35
109,Prague,2022-06-07,200,4,16
110,Praia,2022-06-07,148,7,7
111,Pristina,2022-06-07,233,15,233
112,Port Au Prince,2022-06-07,365,1,7
113,Port Moresby,2022-06-07,1,1,1
114,Port of Spain,2022-06-07,310,1,1
115,Rangoon,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
116,Reykjavik,2022-06-07,60,60,60
117,Riga,2022-06-07,2,3,1
118,Rio de Janeiro,2022-06-07,362,2,6
119,Riyadh,2022-06-07,16,16,16
120,Sanaa,2022-06-07,Temporarily Closed,Temporarily Closed,Temporarily Closed
121,San Jose,2022-06-07,401,56,114
122,San Salvador,2022-06-07,317,2,2
123,Santiago,2022-06-07,805,106,239
124,Santo Domingo,2022-06-07,600,30,10
125,Sarajevo,2022-06-07,16,2,2
126,Seoul,2022-06-07,92,91,77
127,Singapore,2022-06-07,44,2,3
128,Skopje,2022-06-07,250,250,250
129,Sofia,2022-06-07,60,7,7
130,Stockholm,2022-06-07,241,55,112
131,Suva,2022-06-07,5,2,3
132,Sydney,2022-06-07,390,73,133
133,Taipei,2022-06-07,45,43,49
134,Tallinn,2022-06-07,28,3,3
135,Tashkent,2022-06-07,120,25,30
136,Tbilisi,2022-06-07,219,128,30
137,Tegucigalpa,2022-06-07,75,6,9
138,Tel Aviv,2022-06-07,323,16,18
139,Tirana,2022-06-07,337,14,14
140,Tokyo,2022-06-07,53,2,4
141,Tunis,2022-06-07,150,30,14
142,Ulaanbaatar,2022-06-07,499,18,22
143,Vancouver,2022-06-07,451,16,182
144,Vienna,2022-06-07,170,77,57
145,Vientiane,2022-06-07,10,16,10
146,Vilnius,2022-06-07,37,24,24
147,Warsaw,2022-06-07,31,1,1
148,Yaounde,2022-06-07,69,69,55
149,Yerevan,2022-06-07,656,652,168
150,Zagreb,2022-06-07,99,2,4
0,Abidjan,2022-06-06,380,154,1
1,Abu Dhabi,2022-06-06,300,270,150
2,Accra,2022-06-06,983,73,60
3,Addis Ababa,2022-06-06,381,60,381
4,Algiers,2022-06-06,95,27,6
5,Almaty,2022-06-06,243,108,61
6,Amman,2022-06-06,721,106,721
7,Amsterdam,2022-06-06,240,73,134
